serie,pendiente_anual,p.value,r.squared,nobs
"Fosfatos, perímetro CORRECTO (B08+C20)",2.6320015206148905e-4,0.953172319858189,6.242581663222472e-4,8
"Automotor, perímetro CORRECTO (C29+C27)",0.010421808775156131,0.0010336541474514184,0.8538766811825566,8
"Fosfatos, perímetro ESTRECHO (solo B08) - retractado",-0.025144557761646494,0.001913329055503067,0.8214248876467698,8
"Automotor, perímetro ESTRECHO (solo C29) - retractado",0.011408387616091593,0.007655103598899661,0.7208814982242853,8
